0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-7.000997011872425,3
0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0.0,-7.000997011872425,5
0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0.0,-7.000937110693512,1
0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0.0,-7.000937110693512,1
1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0.0,-7.000905497284494,2
1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-7.000905497284494,5
1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0.0,-7.000845596105581,2
1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0.0,-7.000845596105581,4
0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0.0,-6.999590434610157,4
0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0.0,-6.999590434610157,4
0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-6.999530533431244,2
0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0.0,-6.999530533431244,2
1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0.0,-6.999498920022226,1
1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0.0,-6.999498920022226,4
1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-6.999439018843313,4
1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0.0,-6.999439018843313,2
0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-6.996451363062606,4
0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0.0,-6.996451363062606,4
0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-6.996391461883693,3
0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-6.996391461883693,3
1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-6.996359848474675,3
1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0.0,-6.996359848474675,3
1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-6.996299947295762,5
1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-6.996299947295762,3
1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-6.966339969746317,1
0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-6.964136083419975,1
0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0.0,-6.964076182241062,2
1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-6.963200898198766,1
1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0.0,-6.963140997019853,1
1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0.0,-6.961794320936498,3
0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0.0,-6.960997011872424,2
0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-6.960997011872424,2
0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0.0,-6.960937110693511,2
0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0.0,-6.959590434610156,1
0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0.0,-6.959590434610156,1
0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0.0,-6.959530533431243,1
1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-6.958655249388947,2
1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-6.958595348210034,2
1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0.0,-6.957596047652572,3
1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0.0,-6.957596047652572,3
1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0.0,-6.957536146473659,1
1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0.0,-6.957536146473659,1
0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0.0,-6.956451363062605,1
0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-6.956451363062605,4
0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-6.956391461883692,1
0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-6.956391461883692,1
0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0.0,-6.956318844678673,2
0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0.0,-6.95625894349976,1
0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0.0,-6.95625894349976,1
1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-6.954136083419975,2
1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0.0,-6.954136083419975,5
