0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.706583152072012,2
0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.706581328399558,2
0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.706285454146085,1
0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.706283630473633,1
1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.705200414506328,5
1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.705198590833874,9
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.70369059852644,10
1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.703688774853989,11
1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.703392900600518,6
1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.703391076928064,3
0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.701232039599448,2
0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.701230215926994,2
1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.698339486053877,9
1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.698337662381425,7
0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.681404321464013,2
0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.68140249779156,2
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.681106623538087,2
0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.681104799865635,3
1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.678511767918442,5
1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.67850994424599,5
1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.678214069992519,3
1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.678212246320065,3
0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.676181757900553,2
0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.676179934228099,4
1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.673289204354985,3
1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.673287380682531,6
0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.669320829448102,2
1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.666428275902534,2
1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.66642645223008,1
0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0.0,-8.659672734739559,1
1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0.0,-8.656782004866441,2
1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0.0,-8.656780181193989,4
0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0.0,-8.652811806287108,3
0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0.0,-8.65179124590618,4
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0.0,-8.651789422233726,1
0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0.0,-8.651491724307801,3
1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0.0,-8.649921076413992,1
1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0.0,-8.649919252741539,1
1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0.0,-8.648898692360609,2
1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0.0,-8.648896868688157,5
1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0.0,-8.648600994434686,4
1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0.0,-8.648599170762232,6
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0.0,-8.641094602564985,3
