seed,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_formulation_time,connection_time,embedding_time,response_time,sample_fetch_time,n,sparsity
111,161000.0,20.0,39.92,176762.36,2410.64,15762.36,20.58,1.0,1.0,0.007974386215209961,2.0695996284484863,0.04111337661743164,0.1732323169708252,0.0,17,0.0
111,218160.0,20.0,68.5,233922.76,1613.24,15762.76,20.58,26.0,26.0,0.008976936340332031,2.2191243171691895,0.03645801544189453,0.2329709529876709,0.0,18,0.0
111,193560.0,20.0,56.2,209488.36,1129.64,15928.36,20.58,44.0,44.0,0.009246587753295898,2.3998754024505615,0.03584170341491699,0.3059723377227783,0.0,19,0.0
111,216040.0,20.0,67.44,231802.36,1720.64,15762.36,20.58,1.0,1.0,0.010506153106689453,2.1151087284088135,0.037011146545410156,0.44661402702331543,0.0,20,0.0
111,160840.0,20.0,39.84,176767.96,1153.04,15927.96,20.58,1.0,1.0,0.010999202728271484,1.929309606552124,0.035550594329833984,0.5326547622680664,0.0009455680847167969,21,0.0
111,235560.0,20.0,77.2,251321.56,2467.44,15761.56,20.58,1.0,1.0,0.012667655944824219,2.1401607990264893,0.03817439079284668,0.547515869140625,0.0007662773132324219,22,0.0
111,388880.0,20.0,153.86,404642.36,2623.64,15762.36,20.58,1.0,1.0,0.015011310577392578,2.1709771156311035,0.0368044376373291,0.3433821201324463,0.001008749008178711,23,0.0
111,195120.0,20.0,56.98,211049.16,1669.84,15929.16,20.58,1.0,1.0,0.01499795913696289,1.9179551601409912,0.03905916213989258,0.501563310623169,0.0010116100311279297,24,0.0
111,219080.0,20.0,68.96,235007.96,1446.04,15927.96,20.58,31.0,31.0,0.01472163200378418,2.084164619445801,0.037513017654418945,0.5982842445373535,0.0010006427764892578,25,0.0
111,171280.0,20.0,45.06,187043.16,2208.84,15763.16,20.58,1.0,1.0,0.015987157821655273,1.9779646396636963,0.03798198699951172,0.8267252445220947,0.0,26,0.0
111,191240.0,20.0,55.04,207168.36,1679.64,15928.36,20.58,1.0,1.0,0.017987728118896484,1.9208478927612305,0.045867919921875,0.6780178546905518,0.0,27,0.0
111,284920.0,20.0,101.88,300681.56,2097.44,15761.56,20.58,31.0,31.0,0.018630266189575195,2.569922685623169,0.037512779235839844,1.3127367496490479,0.0,28,0.0
111,390280.0,20.0,154.56,406042.36,2675.64,15762.36,20.58,1.0,1.0,0.02090597152709961,2.069749116897583,0.04006242752075195,1.0693233013153076,0.001039743423461914,29,0.0
111,282480.0,20.0,100.66,298408.36,1792.64,15928.36,20.58,1.0,1.0,0.021712303161621094,1.9308662414550781,0.03699970245361328,1.27317476272583,0.0009849071502685547,30,0.0
111,221800.0,20.0,70.32,237562.76,3043.24,15762.76,20.58,1.0,1.0,0.02350902557373047,2.0300378799438477,0.04000687599182129,0.8969647884368896,0.0010018348693847656,31,0.0
111,229240.0,20.0,74.04,245168.76,1614.24,15928.76,20.58,23.0,23.0,0.025000810623168945,1.9695558547973633,0.037999629974365234,1.809863805770874,0.0010008811950683594,32,0.0
111,175000.0,20.0,46.92,190928.36,1607.64,15928.36,20.58,33.0,33.0,0.025892257690429688,2.0660369396209717,0.0401151180267334,1.4237802028656006,0.0010006427764892578,33,0.0
111,260680.0,20.0,89.76,276442.76,3006.24,15762.76,20.58,1.0,1.0,0.030005693435668945,2.145552396774292,0.03955650329589844,2.221820116043091,0.0010001659393310547,34,0.0
111,268520.0,20.0,93.68,284283.16,3689.84,15763.16,20.58,13.0,13.0,0.030999183654785156,2.1704599857330322,0.0410003662109375,3.1900200843811035,0.0,35,0.0
111,289560.0,20.0,104.2,305487.96,3839.04,15927.96,20.58,12.0,12.0,0.031008481979370117,2.11588716506958,0.03978085517883301,5.205676794052124,0.0010004043579101562,36,0.0
111,276600.0,20.0,97.72,292361.56,3243.44,15761.56,20.58,24.0,24.0,0.033911705017089844,2.112013101577759,0.04186058044433594,6.05621337890625,0.0,37,0.0
111,194480.0,20.0,56.66,210242.76,2996.24,15762.76,20.58,1.0,1.0,0.03693890571594238,2.1284797191619873,0.0410001277923584,1.9489521980285645,0.0010542869567871094,38,0.0
111,301920.0,20.0,110.38,317849.16,1798.84,15929.16,20.58,1.0,1.0,0.03900718688964844,2.869586229324341,0.043894052505493164,3.228154420852661,0.0010004043579101562,39,0.0
