0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-4.212521824589675,10
0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-4.212521824589675,11
1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-4.207483715392691,6
0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-4.207483715392691,8
1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-4.204575922869618,6
0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-4.204575922869618,9
0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-4.202521824589676,8
1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-4.202521824589676,7
1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-4.200887087956433,12
0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-4.200887087956433,26
0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-4.199537813672633,3
1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-4.199537813672633,7
1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-4.198894475892224,4
0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-4.198894475892224,6
1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-4.19748371539269,4
0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-4.19748371539269,6
0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-4.195848978759448,15
1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-4.195848978759448,7
1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,-4.19385636669524,2
1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0.0,-4.190948574172167,5
0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0.0,-4.190948574172167,5
0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0.0,-4.188894475892225,2
