n,sparsity,distribution,seed,solution_first,value_first,solution_most,value_most,annealer_tte,solution_gurobi,value_gurobi,gurobi_tte
27,0.0,random,222,010010010010000101110001000,-3103.37,010010010010000101110001000,-3103.37,6.2965,101101101101111010001110111,-3103.37,0.0655
28,0.0,random,222,1011011100111000001100110110,-3566.07,0100100011000111110011001001,-3566.07,8.5268,0100100011000111110011001001,-3566.07,0.0703
29,0.0,random,222,01010101010000011001100100111,-3606.52,01010101010000011001100100111,-3606.52,6.4984,10101010101111100110011011000,-3606.52,0.0709
30,0.0,random,222,100001001110100001100100101110,-4026.89,100001001110100001100100101110,-4026.89,6.639,100001001110100001100100101110,-4026.89,0.0735
31,0.0,random,222,1101001110111010001110010111011,-4100.05,0010110001000101110001101000100,-4100.05,8.3686,1101001110111010001110010111011,-4100.05,0.6793
32,0.0,random,222,10011110101000010101110010000011,-3802.33,01100001010111101010001101111100,-3802.33,6.5502,01100001010111101010001101111100,-3802.33,0.8569
33,0.0,random,222,011110011101010011001110001100111,-3341.25,010110100111010110000111010101111,-3224.29,7.9057,100001100010101100110001110011000,-3341.25,0.7769
34,0.0,random,222,1110010100101001010011110101011011,-4108.79,0001101011000110101100001010100100,-4100.28,6.9361,1110010100101001010011110101011011,-4108.79,0.1128
35,0.0,random,222,01001110010110100100001010001101000,-3588.12,10110000101001011011110101110010111,-3569.66,9.4485,10110001101001011011110101110010111,-3588.12,0.1491
36,0.0,random,222,001110001011000010000100000110011000,-3712.28,001110001011000010000100000110011000,-3712.28,7.0381,110001110100111101111011111001100111,-3712.28,0.2292
37,0.0,random,222,1001000001110101101011100111000011101,-4601.48,0110111110001010010100011000111100010,-4601.48,10.0024,0110111110001010010100011000111100010,-4601.48,0.1111
38,0.0,random,222,11000001100101110010110100011000001001,-4428.12,10000001110001110010110110011000101000,-4352.97,8.501,00111110011010001101001011100111110110,-4428.12,0.2425
39,0.0,random,222,101000001010111000000100110111001001000,-4450.09,101000001010111000000100110111001001000,-4450.09,12.7981,010111110101000111111011001000110110111,-4450.09,0.1662
40,0.0,random,222,1110011001101111110111111110100111000010,-4603.43,1110011001101111110011011110100111000010,-4601.44,14.1439,1110011001101111110111111110100111000010,-4603.43,0.2894
41,0.0,random,222,01101011100100101011110110011000100110000,-5190.6,00101011000100100011111110101010100010001,-5097.78,8.6812,10010100011011010100001001100111011001111,-5190.6,0.3549
42,0.0,random,222,101010000000000001101010011101001011101111,-5733.1,010101111111111110010101100010110100010000,-5733.1,11.3337,010101111111111110010101100010110100010000,-5733.1,0.1821
43,0.0,random,222,0000010101000011000101111100011100011011011,-5553.45,1101011010111100111010010011100011100100100,-5500.83,8.7861,0000010101000011000101111100011100011011011,-5553.45,10.0956
44,0.0,random,222,11000110000110001011101101100100010001000110,-5475.43,11000110000110001011101101100100010001000110,-5475.43,19.7125,00111001111001110100010010011011101110111001,-5475.43,138.5045
45,0.0,random,222,011010100100011010111000001110111011010000001,-5663.85,011010100101010110011001001110101010011001001,-5638.57,14.7664,011010100100011010111000001110111011010000001,-5663.85,495.1087
46,0.0,random,222,1100110100001111010111011100010001100101110111,-6430.84,0011001011110000101000100011101110011010001000,-6430.84,9.852,1100110100001111010111011100010001100101110111,-6430.84,1033.6117
47,0.0,random,111,00111000111001001000111100100111001111000100101,-6301.14,11000111000110110111000011011000110000111011010,-6301.14,10.7564,00111000111001001000111100100111001111000100101,-6301.14,373.4877
48,0.0,random,111,000010100101011000000011111011000111000011001101,-6262.88,110111110100110111111100010100111000111000010011,-5870.75,18.2416,111101011010100111111100000100111000111100110010,-6262.88,751.2901
49,0.0,random,111,1110011111111010101100011010101110111111101001000,-6298.56,0001100000000101010011100101010001001000010110111,-6164.42,10.7944,1110011111111010101100011010101110111111101001000,-6298.56,1230.4028
50,0.0,random,111,10111001100011000101000010100001010010010110000111,-6873.87,00101010101010000010011111010110011101111001111000,-6208.12,25.1073,01000110011100111010111101011110101101101001111000,-6873.87,6686.4772
51,0.0,random,111,100000011000100011011100011010110101100101101010000,-7414.76,111111100110111100100011010001011010101011011101101,-7032.94,22.8356,100000011000100011011100011010110101100101101010000,-7414.76,30113.3455
2,0.5,random,222,01,-100.0,10,-100.0,5.7609,01,-100.0,0.006
3,0.5,random,222,110,-100.0,110,-100.0,5.2247,110,-100.0,0.003
4,0.5,random,222,0010,-102.88,0010,-102.88,5.257,1101,-102.88,0.003
5,0.5,random,222,10100,-256.29,10100,-256.29,5.2835,01011,-256.29,0.003
6,0.5,random,222,111101,-256.01,000010,-256.01,5.5051,111101,-256.01,0.004
7,0.5,random,222,0101101,-405.34,0101101,-405.34,5.3613,0101101,-405.34,0.005
8,0.5,random,222,01011100,-456.22,10100011,-456.22,5.1849,10100011,-456.22,0.0041
9,0.5,random,222,011011001,-436.55,011011001,-436.55,5.2806,011011001,-436.55,0.011
10,0.5,random,222,1100100110,-422.2,1100100110,-422.2,5.4854,0011011001,-422.2,0.012
11,0.5,random,222,11100100111,-666.13,00011011000,-666.13,5.3909,11100100111,-666.13,0.014
12,0.5,random,222,100110010011,-671.06,011011101110,-668.11,5.6869,100110010011,-671.06,0.0154
13,0.5,random,222,0011110011101,-556.62,0011110011101,-556.62,5.4049,1100001100010,-556.62,0.019
14,0.5,random,222,00101101000100,-673.66,00101101000100,-673.66,5.4355,11010010111011,-673.66,0.019
15,0.5,random,222,010111000100000,-652.08,010111000100000,-652.08,5.83,101000111011111,-652.08,0.023
16,0.5,random,222,1010000100100101,-847.35,0101111011011010,-847.35,5.3989,0101111011011010,-847.35,0.023
17,0.5,random,222,10001110111000010,-954.74,10001110111000010,-954.74,5.3302,10001110111000010,-954.74,0.029
18,0.5,random,222,001101110011111010,-1072.19,001101110011111010,-1072.19,5.4929,110010001100000101,-1072.19,0.033
19,0.5,random,222,1101100100101110101,-1295.96,1101100100101110101,-1295.96,5.5925,1101100100101110101,-1295.96,0.036
20,0.5,random,222,01011000101101010101,-1438.78,01011000101101010101,-1438.78,5.7074,10100111010010101010,-1438.78,0.0375
21,0.5,random,222,011000111111110000110,-1579.02,100111000000001111001,-1579.02,5.5891,100111000000001111001,-1579.02,0.045
22,0.5,random,222,1001010000100100110101,-1603.02,0110101111011011001010,-1603.02,5.4168,0110101111011011001010,-1603.02,0.061
23,0.5,random,222,01110100101010010010010,-2051.21,10001011010101101101101,-2051.21,5.6116,01110100101010010010010,-2051.21,0.0476
24,0.5,random,222,110000011110111110110001,-1991.14,001111100001000001001110,-1991.14,5.7196,110000011110111110110001,-1991.14,0.0795
25,0.5,random,222,0100000101001011111000001,-2343.96,0100000101001011111000001,-2343.96,5.7108,0100000101001011111000001,-2343.96,0.0636
26,0.5,random,222,11001100101110001101111111,-2187.87,10110111010001110000001001,-2167.24,6.0589,00110011010001110010000000,-2187.87,0.1035
27,0.5,random,222,101011000001001100111011000,-2507.9,101011000001001100111011000,-2507.9,7.1852,010100111110110011000100111,-2507.9,0.0855
28,0.5,random,222,1100000001001110011010101010,-2298.12,1100000001001110011010101010,-2298.12,5.8059,0011111110110001100101010101,-2298.12,0.1345
29,0.5,random,222,01110010011110101010010011101,-2341.65,10001101100001010101101100010,-2341.65,5.9062,01110010011110101010010011101,-2341.65,0.1205
30,0.5,random,222,101010000111110101000110011010,-2579.23,001010000111110100000110011010,-2566.97,7.0669,101010000111110101000110011010,-2579.23,0.135
31,0.5,random,222,0001000101101000000101000010110,-3249.24,0001000101101000000101000010110,-3249.24,6.2085,1110111010010111111010111101001,-3249.24,0.0996
32,0.5,random,222,11101101010010011010101010000000,-2943.44,00010010101101100101010101111111,-2943.44,7.8282,11101101010010011010101010000000,-2943.44,0.1484
33,0.5,random,222,010010101110010011001010000101111,-3210.89,101101010001101100110101111010000,-3210.89,6.5321,010010101110010011001010000101111,-3210.89,0.2341
34,0.5,random,222,0101010110010011010001001100101000,-3334.29,1010101001101100101100110011010111,-3326.65,8.0647,1010101001101100101110110011010111,-3334.29,0.187
35,0.5,random,222,01001010010001100010010011011011001,-3675.96,01001010010001100010010011011011001,-3675.96,6.9267,01001010010001100010010011011011001,-3675.96,0.207
36,0.5,random,222,110110000100001111000000010101110001,-3487.27,110110000100001111000000010101110001,-3487.27,7.15,001001111011110000111111101010001110,-3487.27,0.203
37,0.5,random,222,0011110000011101011110000101110001101,-3562.82,1001010000100001001101010100010110001,-3519.44,7.1918,0011110000011101011110000101110001101,-3562.82,0.2436
38,0.5,random,222,11100010001111000111011110011101011000,-3715.27,00011001110000111000100001100010100111,-3700.08,9.3488,11100010001111000111011110011101011000,-3715.27,0.2708
39,0.5,random,222,001110000100000010110001110001001001100,-3880.69,100011111101101111011010000100110110001,-3844.53,7.1386,001110000100000010110001110001001001100,-3880.69,0.4151
40,0.5,random,222,1001011010001010101011110000111010001100,-3968.27,0110100101110101010100001111000101110011,-3968.27,6.4098,0110100101110101010100001111000101110011,-3968.27,0.4058
41,0.5,random,222,00011011101011101010101011000011100101000,-4249.21,00011011101011101010101011000011100101000,-4249.21,6.9137,11100100010100010101010100111100011010111,-4249.21,0.1986
42,0.5,random,222,101000010111111000110101111011101001111000,-4441.14,010111101010000111001110000100010110000101,-4394.37,9.7755,010111101000000111001010000100010110000111,-4441.14,0.8682
43,0.5,random,222,0000111010001011010011100110100110000001101,-4447.07,0000011011001001000011001110111100110101111,-4334.08,8.2204,1111000101110100101100011001011001111110010,-4447.07,1.9446
44,0.5,random,222,11110100010011001010100111011000010011011110,-4227.45,11110100100011001010101111011010011011011010,-4209.31,8.7453,11110100010011001010100111011000010011011110,-4227.45,1.7991
45,0.5,random,222,111001111010010110011110000101111001100010100,-4466.0,000110000101101001100001111010000110011101011,-4466.0,9.1945,000110000101101001100001111010000110011101011,-4466.0,0.401
46,0.5,random,222,1010001010111111110000110001110110100010001111,-4643.99,0101110101000000001111001110001001011101110000,-4643.99,7.3564,1010001010111111110000110001110110100010001111,-4643.99,0.4461
47,0.5,random,222,00111001100010101010111111101111000101010100111,-4402.44,11000110011101010101000000010000111010101011000,-4402.44,10.4181,11000110011101010101000000010000111010101011000,-4402.44,2.8236
48,0.5,random,222,001111111100010110100000011000101011001010101100,-4506.74,110000000011101001011111100111010100110101010011,-4506.74,13.3479,001111111100010110100000011000101011001010101100,-4506.74,2.7638
49,0.5,random,222,0111001110000111101011010010101100000011011001011,-4690.16,1000110001111000010110101101010011101100100110100,-4603.22,8.6967,0111001110000111101011010010101100000011011001011,-4690.16,4.8727
50,0.5,random,222,01100111001001100100111000001100001001000011000111,-4790.9,10011000110110011011000111110011110110111100111000,-4790.9,8.3791,10011000110110011011000111110011110110111100111000,-4790.9,2.5802
51,0.5,random,222,101000011010101110110001111110100110101110001101101,-4588.36,101000011010111110010110110111000110001000001001101,-4456.75,11.9555,010111100101010001001110000001011001010001110010010,-4588.36,4.546
2,1.0,random,222,10,-100.0,01,-100.0,5.5364,01,-100.0,0.0021
3,1.0,random,222,110,-100.0,001,-100.0,5.3799,110,-100.0,0.0031
4,1.0,random,222,1100,-102.88,0011,-102.88,5.3937,1100,-102.88,0.003
5,1.0,random,222,00111,-102.88,11000,-102.88,5.3262,00111,-102.88,0.003
6,1.0,random,222,101001,-239.26,101001,-239.26,5.2475,101001,-239.26,0.0039
7,1.0,random,222,1011001,-239.26,0100110,-239.26,5.5121,0100110,-239.26,0.004
8,1.0,random,222,01011011,-320.45,10100100,-320.45,5.2421,01011011,-320.45,0.004
9,1.0,random,222,101001000,-320.45,010110111,-320.45,5.7378,010110111,-320.45,0.0041
10,1.0,random,222,1010001001,-395.27,0101110110,-395.27,5.303,0101110110,-395.27,0.007
11,1.0,random,222,01011101101,-395.27,01011101101,-395.27,5.3248,01011101101,-395.27,0.006
12,1.0,random,222,101000100110,-469.5,101000100110,-469.5,5.2883,010111011001,-469.5,0.007
13,1.0,random,222,0100110111000,-469.5,1011001000111,-469.5,5.3004,0100110111000,-469.5,0.008
14,1.0,random,222,01001101110000,-469.5,10110010001111,-469.5,5.0511,01001101110000,-469.5,0.009
15,1.0,random,222,010011011100011,-556.36,010011011100011,-556.36,5.3315,010011011100011,-556.36,0.009
16,1.0,random,222,1000010111111101,-577.21,0111101000000010,-577.21,5.4617,1000010111111101,-577.21,0.012
17,1.0,random,222,10000101111111010,-559.05,10000101111111010,-559.05,5.2516,10000101111111010,-559.05,0.013
18,1.0,random,222,010110101010100011,-559.05,101001010101011100,-559.05,5.9657,101001010101011100,-559.05,0.013
19,1.0,random,222,0101101010001001011,-559.05,1010010101110110100,-559.05,5.3308,1010010101110110100,-559.05,0.015
20,1.0,random,222,10100101011101100101,-607.95,10100101011101100101,-607.95,5.107,10100101011101100101,-607.95,0.0161
21,1.0,random,222,101000100100011001001,-607.95,101000100100011001001,-607.95,5.0123,101000100100011001001,-607.95,0.0195
22,1.0,random,222,0101111110111001001101,-607.95,0101111110111001001101,-607.95,6.1336,1010000001000110110010,-607.95,0.021
23,1.0,random,222,01011000101110010110111,-666.55,01011000101110010110111,-666.55,5.393,10100111010001101001000,-666.55,0.027
24,1.0,random,222,010111011011100111001110,-666.55,101000100100011000110001,-666.55,5.1862,101000100100011000110001,-666.55,0.027
25,1.0,random,222,1010100101011110110111101,-666.55,0101011010100001001000010,-666.55,5.2971,1010100101011110110111101,-666.55,0.0285
26,1.0,random,222,10100000010101101100001000,-666.55,01011111101010010010110111,-662.12,5.3921,10100000010101101100001000,-666.55,0.0281
27,1.0,random,222,101000100100111010111101000,-666.55,010111011011000101000010111,-666.55,5.4046,101000100100111010111101000,-666.55,0.0308
28,1.0,random,222,0101110110110001010110111011,-666.55,0101110110110001010110111011,-666.55,5.3874,1010001001001110101001000100,-666.55,0.033
29,1.0,random,222,10100001111111100001100101010,-738.88,10100001111111100001100101010,-738.88,5.699,01011110000000011110011010101,-738.88,0.037
30,1.0,random,222,100000100110100111101111000101,-811.12,100000100110100111101111000101,-811.12,5.514,100000100110100111101111000101,-811.12,0.039
31,1.0,random,222,0111110110010110000110001110100,-889.62,1010001111101111110111100111110,-882.08,5.2613,1000001001101001111001110001011,-889.62,0.038
32,1.0,random,222,00101110101011110011111100000111,-986.6,00111110101010100011111000010111,-982.17,5.4524,00101110101011110011111100000111,-986.6,0.044
33,1.0,random,222,101101011001100011101000111111100,-994.81,101101001001100011101000111111100,-987.27,5.4011,101101011001100011101000111111100,-994.81,0.0455
34,1.0,random,222,0010111011101111001111110000000111,-1038.13,1101000100010000110000001111111000,-1038.13,5.3601,0010111011101111001111110000000111,-1038.13,0.051
35,1.0,random,222,00101110111011110011111100000001111,-1038.13,11010001000100001100000011111110000,-1038.13,5.4421,11010001000100001100000011111110000,-1038.13,0.0515
36,1.0,random,222,110100010001000011000000111010110100,-1038.13,110100010001000011000000111010110100,-1038.13,5.4734,001011101110111100111111000101001011,-1038.13,0.0615
37,1.0,random,222,0010111011101111001111110001010010110,-1103.5,0010111011101111001111110001010010110,-1103.5,6.497,1101000100010000110000001110101101001,-1103.5,0.0586
38,1.0,random,222,10100101010110011100001100111100111001,-1156.7,01011010101001100011110011000011000110,-1156.7,5.4286,10100101010110011100001100111100111001,-1156.7,0.0631
39,1.0,random,222,110100011001010001011100001101010101001,-1250.22,001011100110101110100011110010101010110,-1250.22,5.471,001011100110101110100011110010101010110,-1250.22,0.06
40,1.0,random,222,0101001110010100010111000001010101101010,-1250.22,1010110001101011101000111110101010010101,-1250.22,5.3601,1010110001101011101000111110101010010101,-1250.22,0.0746
41,1.0,random,222,10101001111011111000101101101000010110111,-1250.22,01010110000100000111010010010111101001000,-1250.22,5.6068,01010110000100000111010010010111101001000,-1250.22,0.0725
42,1.0,random,222,010101100100000001100100100101111101000000,-1250.22,010101100100000001100100100101111101000000,-1250.22,5.293,101010011011111110011011011010000010111111,-1250.22,0.0845
43,1.0,random,222,1010100111101111100010110110100101101101001,-1250.22,0101011000010000011101001001011010010010110,-1250.22,5.3719,1010100111101111100010110110100101101101001,-1250.22,0.0835
44,1.0,random,222,10101001101111111001101111101000001001111101,-1250.22,01010110010000000110010000010111110110000010,-1250.22,5.5008,10101001101111111001101111101000001001111101,-1250.22,0.0817
45,1.0,random,222,101110011011111010011011011011010011011111111,-1269.18,101110011011111010011101011100010011011001111,-1255.57,5.3566,101110011011111010011011011011010011011111111,-1269.18,0.096
46,1.0,random,222,1011100110111110100110110110110100110111111110,-1185.42,0100011001000001011000001001001011001001000001,-1183.15,5.5012,1011100110111110100110110110110100110111111110,-1185.42,0.1001
47,1.0,random,222,01000110010000011110010010000000111000000000001,-1282.41,10111001101111100001101101111111000111111111110,-1282.41,5.3757,01000110010000011110010010000000111000000000001,-1282.41,0.1125
48,1.0,random,222,010001100100000111100100100100011011010000000000,-1282.41,101110011011111000011111011011100100101110111111,-1280.14,5.3084,101110011011111000011011011011100100101111111111,-1282.41,0.1196
49,1.0,random,222,1011100110111110000110110110111001001011111111111,-1282.41,0011100110111110000111110110111001001011111011111,-1277.15,5.2758,1011100110111110000110110110111001001011111111111,-1282.41,0.1365
50,1.0,random,222,10111101000011101010011111110111100000100101101100,-1291.06,01000010111100010101100000001000011111011010010011,-1291.06,5.8049,10111101000011101010011111110111100000100101101100,-1291.06,0.1375
51,1.0,random,222,101111010010111010110111111101011000001000011101101,-1299.32,010000101101000101001000000010100111110111100010010,-1299.32,5.743,101111010010111010110111111101011000001000011101101,-1299.32,0.1545
