n,sparsity,distribution,seed,solution_first,value_first,solution_most,value_most,annealer_tte,solution_gurobi,value_gurobi,gurobi_tte
14,1.0,random,111,01111111101101,-176.07,01111111101101,-176.07,5.1349,01111111101101,-176.07,0.021
15,1.0,random,111,000000100001110,-209.74,000000100001110,-209.74,5.1267,000000100001110,-209.74,0.0219
16,1.0,random,111,0100101010111100,-233.42,0100101010111100,-233.42,5.3179,0100101010111100,-233.42,0.0255
17,1.0,random,111,10111000110010011,-233.42,01000111001101100,-233.42,5.2698,01000111001101100,-233.42,0.0283
18,1.0,random,111,101110001100100111,-233.42,010001110011011000,-233.42,5.0714,010001110011011000,-233.42,0.03
19,1.0,random,111,0100011100110110000,-233.42,1011100011001001111,-233.42,5.1202,0100011100110110000,-233.42,0.0316
20,1.0,random,111,00101111100111110011,-233.42,11010000011000001100,-233.42,5.2885,00101111100111110011,-233.42,0.0343
21,1.0,random,111,001011111001111110111,-314.84,110100000110000001000,-314.84,5.3408,001011111001111110111,-314.84,0.0406
22,1.0,random,111,0000111110011110101111,-374.2,1111000001100001010000,-374.2,5.1602,0000111110011110101111,-374.2,0.043
23,1.0,random,111,00101111100111111011011,-443.19,11010000011000000100100,-443.19,5.5409,11010000011000000100100,-443.19,0.044
24,1.0,random,111,100101010101000000011100,-506.94,011010101010111111100011,-506.94,5.0989,100101010101000000011100,-506.94,0.0496
25,1.0,random,111,0110101001101111100100100,-606.59,1001010110010000011011011,-606.59,5.2454,0110101001101111100100100,-606.59,0.05
26,1.0,random,111,11010001101100101101000011,-621.16,00101110010011010010111100,-621.16,5.4363,00101110010011010010111100,-621.16,0.0587
27,1.0,random,111,011011111011100110011111101,-684.57,100100000100011001100000010,-684.57,5.1807,011011111011100110011111101,-684.57,0.058
28,1.0,random,111,1010010110100101111001001001,-684.57,0101101001011010000110110110,-684.57,5.2478,0101101001011010000110110110,-684.57,0.066
29,1.0,random,111,01001010010110110001101100110,-684.57,10110101101001001110010011001,-684.57,5.4205,01001010010110110001101100110,-684.57,0.0659
30,1.0,random,111,101111001001010100100110110111,-684.57,010000110110101011011001001000,-684.57,5.033,010000110110101011011001001000,-684.57,0.0735
31,1.0,random,111,0100100010000010101100100111011,-684.57,0100100010000010101100100111011,-684.57,5.3961,1011011101111101010011011000100,-684.57,0.0966
32,1.0,random,111,11110011001000000010111111001001,-748.69,11110011001000000010111111001001,-748.69,5.2633,11110011001000000010111111001001,-748.69,0.1095
33,1.0,random,111,100111011101100110010011111101110,-788.14,011000100010011001101100000010001,-788.14,5.1614,100111011101100110010011111101110,-788.14,0.0857
