n,sparsity,seed,solution_lowest,value_lowest,solution_most,value_most,annealer_tte
123,0.5,222,101011100010100100010100010011001100111001111011011011011011101100011000011010111110001111111010101000111100111000111001101,-16954.83,101011100110100100010000011011001100011011111011011111011010111100011000011010111110001110111010101000111100101000111011101,-17756.79,339.5638
124,0.5,222,0001010001100110000100000110011100101011000100001010001101001011110001011101001110101011011101100001110000100001111101111000,-17211.7,1110100110111001110001111001100011010100101011110101110010110100011000100011110001010100000010011010001111010110001010000111,-17750.09,219.8686
125,0.5,222,11011101111011111111000001001100111111011100000010011101100111101111010010010110001110110101010101001111111101111000010110010,-18667.72,11011101111011111111000001001100111111011100000010011101100111101111010010010110001110110101010101001111111101111000010110010,-18667.72,196.3496
126,0.5,222,000111101001010001110011010111101001000001010111010001110011001001110000001000111000110011110001001100111001000111001001111011,-19328.62,000111101001010001110011010111101001000001010111010001110011001001110000001000111000110011110001001100111001000111001001111011,-19328.62,361.17
127,0.5,222,0101001100000011000111011111010100011010101110101000110001010100001000111111111111110100100000000001110011100001001011110110110,-18912.22,1110011000111101111101011001111101000011000111011010110110011100101011000110110110011101001000001100110100011101011100000011100,-19062.66,326.318
128,0.5,222,10011000110010110011001010010010001111101101100001010011110010110100010110101110101010010011010110111100011100011110000000000111,-19733.58,01100110001101101100110101100101110000011010011110101100001101001011101101010000010100100100101001000111100011000000111111111001,-19856.36,297.6315
129,0.5,222,111100000101010000110100111100000011111100011111000110001010111000000001010011000101010010110011110101111001010101100110110010001,-18463.64,011110111110101111101101011001001011111010010101111001011101000000011110101010101010111000100000000111010111101000011101110101001,-18826.85,257.8624
130,0.5,222,0010111100000100000100100010010001000010001001101100010111101010100100101110011011100000110100101011100000010101110001110101010111,-19756.78,0010111100000100000100100010010001000010001001101100010111101010100100101110011011100000110100101011100000010101110001110101010111,-19756.78,643.2129
131,0.5,222,10110011101111000011101111110101001001001010010110010011000111001110100011100001100110110101010000111100001010110011110110010111111,-18709.14,00110011110110000011101110001101001001101010010110010011000111001110100011100101000100110101000000110010001010110011010000000111111,-19315.23,306.2286
132,0.5,222,000010010111001101101000001010000110110000010010000101111110101000110000111111101101101010010100010011110111001011001000001011010010,-18995.92,100111110011011100011001010000000011011011010111000011111011001000110010110001110101101111101110011011100110010000110000100001010100,-19754.95,157.8202
133,0.5,222,1110111011111101100010001111001011100010010101011011001011011111101010111111101110010101101101000001110000101011010010011010000010101,-18664.79,1110111011111101100010001111001011100010010101011011001011011111101010111111101110010101101101000001110000101011010010011010000010101,-18664.79,553.7458
134,0.5,222,01110101011110010101010101101010101110001011110110011101101111100110001000011101000110010011000101100000001111111100101110000110011010,-19939.94,01110100011010010011000101101110101110001010000111000101001111100011100100011101010110011001010011110001000111111100111100110110011010,-20215.32,248.5898
135,0.5,222,110110111111010110111110101001110011101110111101011111110010110011010001011010111110101100100110110100101110011111001010000011000001011,-19618.62,110110111111010110111110101001110011101110111101011111110010110011010001011010111110101100100110110100101110011111001010000011000001011,-19618.62,100.5125
