0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0.0,-537.7399999999999,2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-537.74,5
0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0,-536.6,1
1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0.0,-536.4,2
0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0.0,-536.32,1
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0.0,-536.1500000000001,1
1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0.0,-536.15,3
1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0.0,-535.87,1
0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0.0,-535.87,4
0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0.0,-535.17,1
0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0.0,-534.8900000000001,1
0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0,-534.39,1
0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0.0,-534.13,1
1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0.0,-533.29,1
0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0.0,-533.1700000000001,1
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0.0,-532.76,1
1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0,-532.31,1
0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0.0,-530.88,1
1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0.0,-530.1999999999999,1
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0.0,-530.2,1
1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-529.98,1
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-529.98,1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0.0,-528.61,1
0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0.0,-527.35,1
1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0.0,-527.1800000000001,2
