0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0.0,-366.36,5
1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0.0,-362.05999999999995,1
1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-361.19000000000005,1
0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-361.19,3
1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0.0,-361.06000000000006,1
0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0.0,-361.05999999999995,1
0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0.0,-359.4399999999998,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.0,-358.86,2
0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0.0,-357.85,2
1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0.0,-357.0300000000001,2
0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-351.7699999999998,2
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0,-347.22999999999996,3
1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-346.46999999999986,1
0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.0,-344.86999999999995,1
1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0.0,-344.06000000000006,1
1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0.0,-341.40999999999997,2
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0.0,-340.68,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0.0,-335.7,1
1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0.0,-332.63,1
0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0.0,-328.47,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-328.38,1
1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,-327.99,1
1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0.0,-327.07000000000005,1
0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0.0,-326.41999999999996,2
1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0.0,-320.55000000000007,2
1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0.0,-314.2900000000001,1
1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0.0,-314.1299999999999,1
1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0.0,-311.9599999999999,2
0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0.0,-310.77999999999986,3
1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0.05555555555555555,-396.72,1
1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0.0,-305.7499999999999,1
1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0.0,-305.4799999999999,1
1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-296.8399999999999,1
0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0.0,-295.93000000000006,1
1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0.0,-292.64000000000004,1
0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.0,-271.74999999999994,1
0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0.05555555555555555,-322.12,1
0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0.0,-262.8099999999999,1
0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0.0,-185.85999999999996,1
