0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0.0,-4.0645759228696186,2
0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0.0,-4.062097587566522,2
1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0.0,-4.062097587566522,3
0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0.0,-4.059537813672633,2
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0.0,-4.057511756608678,1
1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0.0,-4.05748371539269,1
1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0.0,-4.0570594783695375,2
0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0.0,-4.0570594783695375,1
1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0.0,-4.055848978759449,2
0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0.0,-4.054151685846465,2
1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0.0,-4.054151685846465,2
1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0.0,-4.053856366695239,1
0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-4.052473647411692,1
1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-4.052473647411692,1
0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0.0,-4.052097587566522,2
1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0.0,-4.052097587566522,4
1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-4.050948574172168,1
0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0.0,-4.050462850933281,1
1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0.0,-4.050462850933281,1
1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0.0,-4.04956585488862,2
0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0.0,-4.04956585488862,1
1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0.0,-4.04911357664948,3
0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0.0,-4.04911357664948,2
0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0.0,-4.048894475892225,1
1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0.0,-4.048894475892225,1
0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0.0,-4.047511756608678,1
1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0.0,-4.047511756608678,2
1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0.0,-4.047259739258982,2
0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0.0,-4.047059478369537,1
0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0.0,-4.045910464975182,2
0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0.0,-4.0458770199754355,1
1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0.0,-4.0458770199754355,3
0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0.0,-4.045424741736296,2
1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0.0,-4.045424741736296,3
0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-4.044527745691635,1
1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-4.044527745691635,4
0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0.0,-4.043856366695239,1
1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0.0,-4.042473647411692,3
1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0.0,-4.042221630061998,2
0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0.0,-4.042221630061998,1
0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0.0,-4.040838910778451,1
1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0.0,-4.040838910778451,5
0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.0301463542871545,1
1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.0301463542871545,2
1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.023467570511559,3
0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.023467570511559,2
0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.022200452567097,1
1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.022200452567097,2
1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.020146354287155,3
0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.020146354287155,1
0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-4.018511617653913,1
1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.015521668791502,1
0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.015521668791502,1
0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.015370948400519,1
1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.015370948400519,1
1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.014103830456057,1
1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.013467570511559,2
0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.013467570511559,2
0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.011832833878318,4
1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.011832833878318,2
0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0.0,-4.008709630330923,2
1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.007425046680462,1
0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.005370948400519,1
1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0.0,-4.0051652136638864,2
0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.0037362117672775,1
1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.0037362117672775,2
0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0.0,-4.000763728610866,2
1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-3.9987096303309233,2
0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-3.9987096303309233,2
1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0.0,-3.9972193119438297,2
0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0.0,-3.9972193119438297,2
1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0.0,-3.9971769549607545,2
1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0.0,-3.9970748936976817,2
0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0.0,-3.9951652136638867,1
1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0.0,-3.9951652136638867,2
