0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0.0,-648.22,4
1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.0,-648.2000000000002,4
0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,-647.7100000000002,14
1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0.0,-647.71,5
0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0.0,-647.4900000000001,3
1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0.0,-647.49,4
1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0.0,-647.05,5
1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0.0,-646.35,1
0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0.0,-646.3499999999999,11
1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0.0,-646.3299999999999,3
0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0.0,-646.3299999999999,16
1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.0,-645.1500000000001,2
0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0.0,-645.1500000000001,3
1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.0,-644.9300000000002,2
0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0.0,-644.5500000000001,1
1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0.0,-644.55,1
0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.0,-644.0000000000001,1
1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0.0,-644.0,2
0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.0,-643.9800000000001,7
1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0.0,-643.98,2
1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0.0,-643.78,1
0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0.0,-643.7800000000001,2
0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.0,-643.76,3
1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0.0,-643.57,2
0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0.0,-643.5699999999999,4
1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0.0,-643.28,6
0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0.0,-643.28,18
1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0.0,-643.06,3
0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0.0,-643.06,12
1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0.0,-642.5699999999999,2
0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0.0,-642.5700000000002,1
1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0.0,-641.6999999999999,5
0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0.0,-641.7,9
0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,-641.5,8
0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,-641.4800000000001,6
1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0.0,-641.48,3
0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0,-641.3000000000002,5
1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0.0,-641.3,2
1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0.0,-641.26,1
0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.0,-640.92,1
1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0.0,-640.9199999999998,1
0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0.0,-640.7100000000002,9
0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0.0,-640.07,1
1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0.0,-640.0699999999999,1
0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0.0,-639.8599999999999,2
0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0.0,-639.8399999999999,4
1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0.0,-639.1400000000001,8
0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0.0,-638.8000000000001,3
1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0.0,-638.8,1
0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0.0,-638.2100000000002,10
0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0.0,-637.99,8
1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0.0,-637.99,4
1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0.0,-637.97,4
0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0.0,-637.97,6
0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.0,-637.7700000000001,1
0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0.0,-637.5500000000001,2
0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0.0,-637.3600000000001,2
1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0.0,-637.34,1
0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0.0,-637.3399999999999,2
1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.0,-636.7900000000002,2
1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.0,-636.57,1
0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0.0,-636.5600000000002,7
0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0.0,-636.3400000000001,1
0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0.0,-635.49,6
0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0.0,-635.47,10
1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0.0,-635.0899999999999,2
0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0,-635.09,2
