n,sparsity,seed,solution_most,value_most,solution_lowest,value_lowest,annealer_tte
68,0.0,111,00100010100100100100011110011101000010000000011011001101000111000001,-12821.04,11011101011011011011100001100010111111111111100100110010111000111110,-12938.55,41.0596
68,0.5,111,01110000010011011101100011110111001011011110010001101011110000001111,-7535.0,01100101010000100111100010001100110111011111010101010101010010011000,-7679.19,80.1911
68,1.0,111,01011011001111001010111000011011000110000000000101100000000000100000,-1619.25,00110100101111100000001000111110011010111110001011101010111100010101,-1603.82,6.7445
69,0.0,111,101001110110110010111001010110110110010001000001001101111110101111110,-12635.19,100001110110110000110001000100110110010001100001001101111110101111110,-12527.14,67.6261
69,0.5,111,000010111110010011111110110101011100100110011001010000011101100101101,-7930.67,000010111110110011111110110101011100100110010001010011011101100101101,-7755.9,80.797
69,1.0,111,000101100100000110111001101100100010011010111100111000011110101100110,-1652.11,111010011011111001000110010011011101100101000011010111100001010011101,-1640.12,6.5195
70,0.0,111,1101110111110000111110001101110001011111011000010001010000110101010100,-13156.96,0101100001010011011111011101110000001101101001100001111011111000011100,-13037.22,35.8335
70,0.5,111,1011010111001101000101011100001110011100000011111011101000110111110101,-8589.61,0101111010000000111010100000111001100011111100000010010111101001001110,-8086.74,43.3618
70,1.0,111,0001101010101000101100001111100101010010001001011100011111101011100101,-1652.11,1010100010101100010000001100110111011001010000110101111000001110111111,-1631.53,6.4443
71,0.0,111,01001010001000101100101101000000101100111011001111111001001111111101110,-13454.98,01001010000101101100101101000010101100111011001111111010001111110101010,-13112.78,44.8667
71,0.5,111,01111100011001000000001011001111001001110100101110110011110101000100111,-9111.38,10000011100110111111110100110000110110001011010001001100001010111011000,-9111.38,66.5514
71,1.0,111,10100101100100100001000100100100101001001111111011011010100001001110111,-1665.41,01011010111011011110111011011011010110110100000100100101011110110001000,-1657.01,6.6362
72,0.0,111,111101111000011001011010000010101010100000001001001101100101100101100001,-14603.74,101110000100010000101000010110100110000101010010100001001111000011101000,-14180.78,67.6156
72,0.5,111,000101000010011100110110111011110011100000011101110101010110011111110010,-9141.78,100001101010011011011010011011101111110100000010000101110110011010001011,-8753.78,31.7781
72,1.0,111,000110100110001111111001100111001001111001010101101111000011000111100100,-1669.98,000101100011111010101001010101100101001110001001001100000111000100100000,-1653.63,5.7942
73,0.0,111,1111001101000011101111001110111010000010100100111100100110010000100101110,-14512.85,0111100001000011100011101011010011000011100000011101101110000000100101110,-13994.13,42.5583
73,0.5,111,1100001101101111110101100001000101100101110010111100010000100001101111111,-9473.12,1100001101101111110101100001000101100101110010111100010000100001101111111,-9473.12,19.2334
73,1.0,111,0101100001111000111101111011000101111000001011010011010010100000110000010,-1762.81,1010011110000111000010000100111010000111110100101100101101011111001111101,-1762.81,5.8838
74,0.0,111,01010000001101000100110010110100110111000001011100011100001001100001001101,-14106.11,00111000000100001101100110011011010110001100101101101100010010000111010011,-13654.89,50.609
74,0.5,111,01101101101101110011100110100101001011001111111101001110011010100000000000,-9714.71,11100010110111110101100100100100111001011111110110100110011111100100110100,-9496.18,25.9205
74,1.0,111,10100110100011010000101110001111011010101100001000001011010000110111100001,-1758.24,01011001010100111111010001110000100101010011110111110001101111001000011110,-1754.98,6.1279
75,0.0,111,101100010010100101100000100011001000111001011100111010111010110110001000001,-14719.37,101100010010001101100000110011001000111001011100110010110010110110001000011,-14282.5,32.3358
75,0.5,111,100100001111010001101110110011000111011111101001110010111110001001001111011,-9905.18,100100011111010001101110110011000111011111101000110010111110001001001111011,-9731.14,25.4812
75,1.0,111,000110001110010010101011111111000010010000110101111001101010111011010100101,-1844.14,101001101110000001011011100001011100111110011110001111110100001110101011010,-1836.31,5.8847
76,0.0,111,1110111000101000001100010001110001101010000101110011011011000011010011011011,-15020.63,1110111000101000001100010001110001101010000101110011011011000011010011011011,-15020.63,29.5896
76,0.5,111,1111000111001110100010111101101010010101010000101101011110111001100110100110,-11057.72,0110000011001110000010111001101010010111001001100111101111111101100111100110,-10831.01,28.4662
76,1.0,111,1110011100011011000101000100001111010011110010100101100101010001001010001101,-1844.14,1110011100011011000101000100001111010011110010100101100101010001001010001101,-1844.14,5.9257
77,0.0,111,11111011111000100110000111000000011010111001100000000011110111110101001100001,-15016.12,11111011111010101110011110110000011110111001110000001011110111010101001100000,-14531.66,73.1818
77,0.5,111,01001010110001001110100111100000111101011000000111100110011110001101011000101,-10962.41,00001011110001001100100001101000111101011000010111100010011110001100011000101,-10478.79,30.6766
77,1.0,111,00011000111001001110101111111100001011000011010111100110101011101101010100110,-1861.46,00011000111001001110101111111100001011000011010111100110101011101101010100110,-1861.46,5.8164
78,0.0,111,100011011000010001110111101010001001000001111011011000011010110010010100100010,-15906.55,111010010100010000101001001110110100011110011011000010111011010111101011001001,-15357.49,44.8884
78,0.5,111,001011000010111111011010110001010100000111110101101011100011101011010010101010,-11137.98,101011000010111111011010110001010100000011110111101011100011101011010010000010,-10886.06,32.2938
78,1.0,111,010101100111000010111100101101001110011110111101101101001111110110000010100011,-1897.55,010101100111000010111100101101001110011110111101101101001111110110000010100011,-1897.55,6.0007
79,0.0,111,0101110100011001011001111001011100011000000000101001101011100010111101110000001,-15804.43,0010000100110010000011011110000110110101111010101000000100100101000110101111011,-15444.78,40.1793
79,0.5,111,0011001010101111101011101011101100000110110011110010111000110101101110100000000,-11354.55,0011001010101111101011101011101100000110110011110010111000110101101110100000000,-11354.55,31.8026
79,1.0,111,1001100101101111111000010111001101001001011010000111110011001010001000100111110,-1892.98,1001100001101110111000001111001111001001011010000111110011001010001000100111110,-1892.22,8.6868
80,0.0,111,01011010000111110000110111110100011110010111101010111111010001110011111010011100,-16694.39,01011010000111110000110111110100011110010111101110111111010001110011111010011100,-16633.55,116.2028
80,0.5,111,00100011100011011100101001110000001101001010101100101111011100101001000101101101,-12066.69,10001000111011011101011000010000110101000011001110111101100110001110100111011001,-11410.38,104.6929
80,1.0,111,00001000001011100100001010000010110010000010100000000100000011000011110100001100,-1963.79,00001000001011100100001010000011110010000010100000000100000001000011110100001100,-1949.13,6.5803
81,0.0,111,111010010101011111111110101010100111110000100011111110111101001101101011110001001,-16854.85,111010010110110111010110100110000111111100000101001110111110000000100101010001001,-16263.7,50.7541
81,0.5,111,010100101100011011001011010111100101110010111110100110011001011001010010001000010,-12280.5,010100101100011011001011010111100101110010111110100110011001011001010010001000010,-12280.5,90.8787
81,1.0,111,011110101100010011101100101110000101111100010110101100111000111111010001001000001,-1970.3,111101011111010110100100001111011100010110010110111101111000001011010001111100100,-1960.53,7.7109
82,0.0,111,1101011101001111101011110010110000010001001000100101111111100011111101000100111010,-16219.59,0011101001111000010110011101001011100111100111001100000001000100000010011011000111,-15519.37,130.0493
82,0.5,111,0110100001001111101111110100000000000001101101001100100000101011011111011111110101,-12178.3,0111100111000001001001110100100001000100110011011100101010000011001011111101100011,-12011.2,93.0572
82,1.0,111,1111100000011101111111011111001000110001010011110001100111011010011000011101011001,-1970.3,0000011111100010000000100000110011001110101100011110011000100101110111100010100110,-1963.03,9.6696
83,0.0,111,01001001111100100011010011101011110101111101101000111100000110110101001110101001110,-16805.75,01011001001100100001110011101001110101110100101101111100000010100001010110001001010,-17118.48,59.5443
83,0.5,111,01100110001010111110010111010001100101110110011000100111011001111111001111101101001,-13270.96,01100110001010111110010111010001100101110110011000100111011001111111001111101101001,-13270.96,98.5661
83,1.0,111,10001001011010110001000000000111001100010110110101101100000010000110110111011001011,-1968.36,00110110100101101110100111111000110011101001001010010011111101011001001100100110100,-1960.97,7.4424
84,0.0,111,101101101000111000110011101100110010100011010101000010111111101110110101101011001011,-16910.96,101101101000111000110011101100110010100011010101000010111111101110110101101011001011,-16910.96,106.4574
84,0.5,111,101111001101011101000110100010010010100000100011100101011101110010011010100111000110,-12870.22,010000110010110010111001011101101101011101011100011000100010001101110101011010111001,-12622.01,115.6404
84,1.0,111,010001110011010100000110000011001100111010110100100101010010111110001010001010100110,-1968.36,010101101100010011011110100100010101111010111000100110110000011110101000000001001100,-1924.53,7.2763
85,0.0,111,1101111101101110101101000001011001000010110110100110101100010010001000100011110110101,-16862.34,1101110101101110101101000001011001000010110110100110101100010010001000100011110100101,-16486.56,121.2632
85,0.5,111,0011010111000000000101101100110001001010111111111001000100101001011000001010101100001,-13327.11,1101001001111011001010010011001110110101000000100010111111110010100111111001010111110,-12407.97,98.826
85,1.0,111,0100110100000011000101110100010010000101101110000101110111000100010111101011100100011,-1970.3,0100000100001011000101110100111010001001011001000101010110000100010111101011100100011,-1964.97,8.6587
86,0.0,111,11011000110011010110000101100001011010101111000100110100111010101100111011000110011111,-17860.82,11011000110011010110000101100001011010101111000100110100111010101100111011000110011111,-17860.82,155.7541
86,0.5,111,10100111000100011000010010011010000111111000100111110001010000111010010010011011010000,-13415.19,10100111000100011000010010011011100111111001100111110001010000111010010010010111010000,-13202.21,120.9611
86,1.0,111,01110001101010011011010101111111000000000100001001010111101111100100010110010001011001,-1970.3,00110001101110111011000100111111100000000110001000010111101111000100011100000011011101,-1963.79,9.544
87,0.0,111,000001000100101001011111001111011111110110000011110110110010011010100010011111101001010,-17687.37,010010111011010000011010110100110010001101101101101011001011000100101000000000010010000,-16306.35,301.1351
87,0.5,111,001101111011001010000100101000110101111011100101000011110100010110011101001011101100111,-12608.84,001101111011001010000100101000110101111011100101000011110100010110011101001011101100111,-12608.84,54.319
87,1.0,111,011100100110110011110110101110110000001101000110011101011100111101010010000000001011001,-1970.3,011100100110110011110110101110110000001101000110011101011100111101010010000000001011001,-1970.3,6.1091
88,0.0,111,1010111101010011011111000100100000001100110011001110111101011111101010000001011011100111,-18184.08,1010111101010011011111000100100000001100110011001110111101011111101010000001011011100111,-18184.08,102.5587
88,0.5,111,1101001010000111110110101010111101101000011000010110101110001110000101100011010100001010,-13474.93,1101001010000111110110101010111101101000011000010110101110001110000101100011010100001010,-13474.93,95.095
88,1.0,111,0100011000011101010011101100101000101010100001001100000001100111011110000010111001001010,-2053.74,0000011000001111010110101000101001101010100001001100000001100101011110100000100100011010,-2034.71,7.37
89,0.0,111,01101010101110110001111111101000100101100100001010010010010001010001101100011110100110111,-18262.62,01101010101110110001111111101000100101100100001010010010010001010001101100011110100110111,-18262.62,289.6669
89,0.5,111,10011011111110100111001001111001111001011011011011001100001110001110001111101010101000010,-13096.65,10011011111110100111001001111001111001011011011011001100001110001110001111101010101000010,-13096.65,209.3237
89,1.0,111,01111001000100011011011001010001101101010101111111011001111111001111010100010110010100011,-2088.5,01111011000100011011011100010001101111110101111111011001111110011111011100010110010100011,-2064.54,8.725
90,0.0,111,010101100100011101001100111100010111010011010111000000101000010001011001101001011011101100,-17913.41,101010011011100010111011000011101000101100001000111111010101101110100110010110110100010011,-18051.14,137.8445
90,0.5,111,101011000100010000011000010000011111100111000011010000011001001100100001110011110000011001,-13749.77,101011000100010000011000010000011111100111000011010000011001001100100001100011110000011001,-13633.09,240.9248
90,1.0,111,001010110011111100000010000010001101101100100110100001000111110111010010001000110111110000,-2085.27,110010001100100011011100100001010110000101101000011100100000001010001101110111001000010111,-2055.6,6.5978
91,0.0,111,0001110010011010001110111101011000001100101111111101001010100011001111001111110100110100000,-18828.5,1111101101101001010001001010100110110011000000001000110101011110110110010000001011001010011,-18930.06,237.3846
91,0.5,111,0100111110100101000110100000000000111111000111001110111101101001001000011100000001111000101,-14022.67,0100111110100101000110100000000000111111000111001110111101101001001000011100000001111000101,-14022.67,114.5405
91,1.0,111,0111101100110000011101000011000010111111000111111101110111110111110001110001001010010100111,-2176.04,1000010111101111000000110100111011000000111000000010011000001000000110001110110101101011000,-2152.66,9.8927
92,0.0,111,10100111011101011001010011011011110100011011100101010010001001011001010001000101010011111001,-18871.14,10100111011101011001010011011011110100011011100101010010001001011001010001000101010011111001,-18871.14,299.3312
92,0.5,111,11010011010110010011010101001011011001111101001100010111011000011110110010010000100101000000,-14655.92,11010111000110010011010101001011011001100111001110010111011001001101010010000100100001001010,-14744.43,92.244
92,1.0,111,10111111010101110011101101110001110101101101001010111001111110011011001001011110010110100011,-2244.13,10111111010101110011101101110001111001101101001000111001101110011011001001011110010110100011,-2234.8,9.9606
93,0.0,111,111111010001001100100000110110001010011101100001000010100011010000101100000110000001011101000,-18083.39,111110010001101100010000110110001010011101100001000010100010010000101100000110000001011101000,-17883.26,204.3963
93,0.5,111,100010100110101100111000101100110001011101000001110101011000111110100001011101111100010011111,-14958.99,011101011001000011000111010011001110100010111110001010100111000001011110100010000011101100000,-14973.77,180.7849
93,1.0,111,100011001010101011000001110001100101000010000001110101110010000000101101111010011100001101010,-2244.13,100011001010101011000001110001100101000010000001110101110010000000101101111010011100001101010,-2244.13,7.966
94,0.0,111,0111101100110000101011010000010010111101111110000110000011110101010101001011010011101011001101,-19720.24,1000010011001111010100101111101100000110000001101001111101001010101010110100101100010100110010,-20007.15,230.9155
94,0.5,111,0110010001001111001011010011101001000010100111101101100001010011000100101110100111110000111101,-14468.5,0110010001001111001001010011101001000000100111101101100101010011000010101110111111111000111101,-13986.23,216.1116
94,1.0,111,1001110011100010110000111101010001010100100100001111011101101000101011001110100111000011010100,-2238.96,1000110110101010010000010110111000011000100000011101011110100000001011011110100111000011010000,-2230.23,7.5192
95,0.0,111,10000111101111110110111100000110110010111010010110010011001000001011000000010110100110100000101,-19237.46,10000111101111110110111100000110100111111010010110010011001000001011000000010110100110100000111,-19288.31,329.0565
95,0.5,111,01101010001001011010110100011001111110111110011000101010100110111000100010001100001101010000001,-15314.84,01101010001001011010110100011001111110111110011000101010100110111000100010001100001101010000001,-15314.84,151.3293
95,1.0,111,01011111110101010011110000011001101011111011010000110010010111111000001100010110000101100010111,-2318.47,01011101111101000011011000011000101011111001000000110110010111101000000000010110100101100010111,-2303.94,9.5459
96,0.0,111,100100000111011011111100001100110010011000000000001000100001111110101110000111110111011100011000,-19870.17,100100001111011011111100001100110110011000000000001000100001111110101110000111110111011100001000,-20174.93,310.7554
96,0.5,111,101011100111110011111110011000100111011111010001001100010010011010101110010100011111110110111100,-13961.15,101011100111110011111110011000100111011111010001001100010010011010101110010100011111110110111100,-13961.15,154.3001
96,1.0,111,111100100011010010110111111111101111011101011110110111001110101101100010010000101100000110001011,-2337.42,101100000001001111001001111101111011110101011110110110011110100001111111011000110010100111111001,-2308.85,9.1986
97,0.0,111,0001111101100000101011011011111100111100011100111110110000000001011101001011110000101011000111111,-20485.1,0001111101100000101011011011111100111100011100111110110000000001011101001011110000101011000111111,-20485.1,312.4814
97,0.5,111,1100011100011100111111011101000100011101010100100110110101001100100001110110010010101000101111000,-15113.09,1100011100011100111111011101000100011101010100100110110101001100100001110110010010101000101111000,-15113.09,231.0313
97,1.0,111,0001001111000110100000000011011000100111001111000110001110010111011010100010000111111001001100111,-2344.94,0001001111000110100000000011011000100111001111000110001110010111011010100010000111111001001100111,-2344.94,8.6183
98,0.0,111,01111101000110110101111011001010101100010100101111000000010001011001110111000111011011100110011101,-20722.95,01111110000100110101111011001110101100010100101111000000110001011000110011100101011011100110011101,-20948.94,415.7304
98,0.5,111,00010010001010010010111100100001100100011100010011001101010000011100011001011111010100001010111101,-15991.39,00010010001010010010111100100001100100011100010011001101010000011100011001011111010100001010111101,-15991.39,246.942
98,1.0,111,10011111000100100100101000110001011001001011010101011000101110011010111001100011101111110111010010,-2393.41,10111111001100110110000000010000011001101011001101011100001110011011111101100111011101111111011110,-2380.3,8.6366
99,0.0,111,101001101001001011110110010010000101111110100001000000100101101011100010000001001001111001011011100,-20687.03,000000110001100000001011000111111001011111000000111111010111110100010001101010100111010111000011011,-20742.1,842.4174
99,0.5,111,111100110111101000111011101001100000000000000011011101000011111101010010110001010000011111101100011,-14781.09,111001110011100000111011001001110011000000000011011101010011111101010010110000010000001111101110111,-14998.24,265.7733
99,1.0,111,110111010000000001001110000111010010111011111000010010010000101011110100101101011011111001100110101,-2416.59,110111010000000001001110000111010010111011111000010010010000101011110100101101011011111001100110101,-2416.59,9.8527
100,0.0,111,0010101001100011101110111011111110001010101101101111000000100001000001101111010011101000010001111100,-21654.91,1101010110011100010001110110100001110101010010010000111111011110111110010000101000010111101110000011,-21750.81,247.3062
100,0.5,111,1100110100100101111011101110111011000001110111011111001010101011011111001101101011101001001001000110,-15603.13,1000010100110101111000101010110011000001111111101111001010101011000111011101101011101001001001110110,-15609.7,452.125
100,1.0,111,1010000111101011011100100010101010101000001011110010011011111000000011101100110000000100111001011101,-2413.95,1010000111101011011100100010101010101000001011110010011011111000000011101100110000000100111001011101,-2413.95,7.8043
101,0.0,111,10111011001111111011111000111011001101010010111110101101011001111001010000101000110000001100000100010,-20744.62,10111011001111111011111000111011001101010010111110101101011001111001010000101000110000001100000100010,-20744.62,393.1006
101,0.5,111,00100100000000100100111011001101100101000010110000101011001100000100110110101011010100010001010011110,-16412.35,00100100000000100100111011001101100101000010110000101011001100000100110110101011010100010001010011110,-16412.35,379.3791
101,1.0,111,00000011011111110000000101001010000110100000010011111101000101010010000100110011011010010010011100010,-2481.16,00000011011111110000000101001010000110100000010011111101000101010010000100110011011010010010011100010,-2481.16,10.3999
102,0.0,111,000001011101101111000101011100001010001101101011011111110000001111000101111110111000111111011001001001,-23314.79,100001011101101111000101011100001010001101100011011110110000001111000100111110111000111111011001001001,-23717.6,186.6166
102,0.5,111,110110011111010001001110100001101101001000001011111100010101101110000011100010001110110000100110100111,-16367.29,110110010110010101001010100001100011001001001011111100010101101110000011100011001110010000110010100111,-16494.94,355.0837
102,1.0,111,000000100111111110000001110000100101001000000100111111010011010100000001001100110110100100010010000101,-2474.65,000000100111111110000001110000100101001000000100111111010011010100000001001100110110100100010010000101,-2474.65,9.412
103,0.0,111,0000101001011011010010101000001100011110101001001111100010011110100101101110111101001100001101011111111,-21526.12,0001100011011001010110101000011000000100101001001111100010011111100101101010011101001100001101011011111,-21527.23,689.5422
103,0.5,111,1111000100111000010111101111101110010110001101010010001000011100000011000001000101101101101100000100001,-16077.68,0000110110110011111000110001011010001001000001110100001100100100111000011010011011011111010011011111110,-16364.22,457.3287
103,1.0,111,0100000100001001010011010100101100101001001010010101100000111110010001011011100100111001011010000001010,-2479.22,0100000100001001010011010100101100101001001010010101100000111110010001011011100100111001011010000001010,-2479.22,12.6598
104,0.0,111,10110111010110001011110100001110001011010010110000010110001011010101000101000101010101100000110111110010,-22082.37,01001000101101100000001011110001100100111101001111111001110110111010110010111010101111011111101000101100,-22238.64,298.3501
104,0.5,111,10010111111010101011100110000111101111101111101000011000111100101011100010101110011101111000101010101001,-17115.21,10010111111010101011100110000111101111101111101000011000111100101011100010101110011101111000101010101001,-17115.21,208.9507
104,1.0,111,00001110001010010100000111000110001110111010110010001100111101010100010010110101000010100110111111111001,-2474.65,11110000110101101111111010111001110001000101001001110011000010101001101101001010111101011001000000000110,-2473.74,8.5254
105,0.0,111,001001110001011100000001001001111011011110111000010001000100010001111100101000010100001111110101110001111,-22248.55,110110101111001111111110110010100110100001100111111101111011100110100011000101110111101000001011100011001,-22361.55,486.4103
105,0.5,111,000100010011000100100001101111010010111101000000010101101011010001011011000011100100010011010000101001110,-17290.83,010101010011000100100001101011010010111111010000010101101011010001001011000011110100011001010001111001110,-17403.17,255.1723
105,1.0,111,010100110100011010001110000110011001110001011000101010001110011110010010101111011011010000010100010111000,-2573.87,010100110100011010001110000110011001110001011000101010001110011110010010101111011011010000010100010111000,-2573.87,7.7342
106,0.0,111,1011101110001111111011001010111011011110000100111010111111110011001000010101100011101011110100011100011001,-22917.77,0010100010000110010100001011011011011100110000101111111001101111011011011111001011011011001101111001111001,-23030.2,202.386
106,0.5,111,1100110100111111111011000011100101010100010101001010010001110100100000010111100001000011101000011100111000,-16746.61,1100110100111111111011000011100101010100010101001010010001110100100000010111100001000011101000011100111000,-16746.61,198.5434
106,1.0,111,1011111110100100101111100111001110011111111101101111001001100010000000010100101000111110101110110111011111,-2641.19,1011111110100100101111100111001110011111111101101111001001100010000000010100101000111110101110110111011111,-2641.19,6.7614
107,0.0,111,11101000000100000101000101101110110011011001011100110101111101101100000100111110101101100100111011100100010,-23230.33,11101000001000000001000101101110010011011001011100110101111101101100000100101010101111110101111011100100010,-23466.33,228.2423
107,0.5,111,00110110000000100011111101001101011100101011101011100011001010001100011011111100010010111011000010001001101,-17459.12,10001000111111001111100010110001101011110100100100111011110100110011000101000101101101000100111101111001011,-17611.82,205.2346
107,1.0,111,10110101101001100011101001110011110011010011011001110011011000000000001101001100011011001011100011100011110,-2678.93,10110101101001100011101001110011110011010011011001110011011000000000001101001100011011001011100011100011110,-2678.93,7.2824
108,0.0,111,111110111010001111010101000100110010001101101001010000000001101111110000110101110111111100110101011010110111,-22689.08,111110111010001111010101000100110010001101101001010000000001101111110000110101110111111100110101011010110111,-22689.08,411.3953
108,0.5,111,110100111000110101111101101101110000100010000010101110100010111111101111010000011001110000000000011110001000,-17208.74,100100111101110111110101001001111000101110000010111001010010011110100101010000111001011010001000011111011010,-17232.02,166.6327
108,1.0,111,011101001010011110111110011110111000111100011111011100110110011100010011110011000101110110110111110110101100,-2679.5,011101001010011110111110011110111000111100011111011100110110011100010011110011000101110110110111110110101100,-2679.5,6.8957
