n,sparsity,mean,min,max,lower,upper
19,1.0,5.245566666666666,5.1202,5.3308,5.1346788705241995,5.356454462809133
20,0.0,5.6944,5.5598,5.8008,5.588233369963376,5.800566630036624
20,0.5,6.288375,5.7074,6.9765,5.66652895595051,6.91022104404949
20,1.0,5.255933333333334,5.107,5.3723,5.120318203892208,5.39154846277446
21,0.0,5.59845,5.3914,5.8353,5.4088919438096426,5.788008056190357
21,0.5,6.5889,5.5891,7.6182,5.625207659744737,7.552592340255263
21,1.0,5.2657,5.0123,5.444,5.0402643550811,5.4911356449188995
22,0.0,5.957075,5.5771,6.5655,5.519355330386368,6.394794669613631
22,0.5,6.3252749999999995,5.4168,7.366,5.40673935607176,7.2438106439282395
22,1.0,5.592033333333333,5.1602,6.1336,5.096142273388375,6.087924393278291
23,0.0,5.82265,5.4808,6.3647,5.427329349557013,6.217970650442988
23,0.5,7.019175000000001,5.6116,8.5456,5.573491935666742,8.46485806433326
23,1.0,5.4836,5.393,5.5409,5.404225759846157,5.562974240153843
24,0.0,5.86965,5.4286,6.2251,5.537852526632084,6.201447473367916
24,0.5,7.40955,5.5486,10.9124,4.920150284539799,9.898949715460201
24,1.0,5.211566666666667,5.0989,5.3496,5.084306211955342,5.338827121377992
25,0.0,5.971125000000001,5.7643,6.1649,5.8007748434596165,6.141475156540385
25,0.5,7.694750000000001,5.7108,10.7485,5.341454403749217,10.048045596250784
25,1.0,5.3442333333333325,5.2454,5.4902,5.215206501498503,5.473260165168162
26,0.0,6.015025,5.5358,6.4554,5.62346435867693,6.406585641323069
26,0.5,7.184025,5.9151,9.1206,5.67453468563337,8.69351531436663
26,1.0,5.4446,5.3921,5.5054,5.387495797002323,5.5017042029976775
27,0.0,5.9739,5.5713,6.4534,5.506396695198847,6.441403304801154
27,0.5,8.3153,6.3774,11.0324,6.270930036743186,10.359669963256815
27,1.0,5.374300000000001,5.1807,5.5376,5.193931017078879,5.554668982921123
28,0.0,7.6983,6.8784,8.5268,6.825178278817896,8.571421721182103
28,0.5,7.622625,5.8059,11.4213,5.046824669520171,10.198425330479829
28,1.0,5.343366666666667,5.2478,5.3949,5.260518592860855,5.42621474047248
29,0.0,6.70295,6.1718,7.6264,6.067347663629216,7.3385523363707845
29,0.5,8.43365,5.9062,12.2111,5.5314402872696,11.3358597127304
29,1.0,5.557033333333333,5.4205,5.699,5.417703855715231,5.6963628109514355
30,0.0,6.7711749999999995,6.4268,7.3157,6.389427942600295,7.152922057399704
30,0.5,9.41325,6.7056,13.2785,6.293954621766853,12.532545378233145
30,1.0,6.4542,5.033,8.8156,4.395074525435616,8.513325474564384
31,0.0,6.977825,5.9149,8.3686,5.9417407100730975,8.013909289926904
31,0.5,9.564725,5.9802,16.487,4.6646808428010065,14.464769157198992
31,1.0,5.336566666666666,5.2613,5.3961,5.267803207378079,5.4053301259552535
32,0.0,6.783175,6.5502,7.0588,6.573157185279439,6.993192814720561
32,0.5,10.102925,6.3405,13.4955,6.551701841354518,13.654148158645484
32,1.0,5.4019,5.2633,5.49,5.280405514528437,5.523394485471564
33,0.0,7.146775,6.0458,8.1101,6.129902214200321,8.163647785799679
33,0.5,8.644875,6.5321,10.8392,6.520768647711272,10.76898135228873
33,1.0,5.3519000000000005,5.1614,5.4932,5.180615762546579,5.523184237453422
34,0.0,8.701025,6.9361,10.2564,6.930507178617415,10.471542821382585
34,0.5,11.5937,6.5094,18.9657,5.990392727207143,17.197007272792856
34,1.0,5.353366666666666,5.3063,5.3937,5.309279329104353,5.39745400422898
35,0.0,10.163874999999999,6.9067,15.9365,6.177045860299294,14.150704139700704
35,0.5,9.286175,6.9267,12.1591,7.0957867248685496,11.47656327513145
35,1.0,5.482233333333333,5.4421,5.5146,5.445364602227784,5.519102064438883
36,0.0,9.687375,7.0381,12.3312,7.412481806353317,11.962268193646683
36,0.5,9.867325000000001,6.9221,14.9047,6.133506751990778,13.601143248009224
36,1.0,5.4315999999999995,5.3705,5.4734,5.377503142420284,5.485696857579715
37,0.0,10.782,8.7753,12.9477,8.982924135377647,12.581075864622353
37,0.5,9.41465,7.1918,12.361,6.950456704686772,11.878843295313228
37,1.0,6.7075,5.4152,8.2103,5.298110525794945,8.116889474205054
38,0.0,8.2883,7.0271,10.4729,6.686315074977295,9.890284925022703
38,0.5,10.467175000000001,6.9476,14.696,7.217122950801404,13.717227049198598
38,1.0,5.467133333333334,5.4286,5.5162,5.4223934927733435,5.511873173893324
39,0.0,10.16855,8.9349,12.7981,8.397187811362867,11.939912188637132
39,0.5,10.658675,7.1386,14.7041,6.831327026642121,14.48602297335788
39,1.0,6.070866666666667,5.471,6.4387,5.5469483301548275,6.594785003178507
40,0.0,9.447600000000001,7.469,14.1439,6.269169344262278,12.626030655737726
40,0.5,12.96875,6.4098,25.8096,4.165176707864584,21.772323292135418
40,1.0,5.408833333333334,5.3146,5.5518,5.282947816559826,5.534718850106842
41,0.0,9.379225,8.5836,11.2113,8.142119732652068,10.616330267347932
41,0.5,12.40255,6.9137,24.0705,4.443928598232816,20.361171401767184
41,1.0,5.566833333333332,5.5318,5.6068,5.529090740241001,5.604575926425664
42,0.0,9.681875,8.8495,11.3337,8.54891069819404,10.814839301805959
42,0.5,14.882249999999999,9.7755,25.4903,7.534668745147034,22.229831254852964
42,1.0,5.509133333333334,5.293,5.748,5.280783046858073,5.737483619808594
43,0.0,10.85255,8.7861,11.9706,9.441068639868028,12.264031360131973
43,0.5,11.927275,8.2204,15.374,8.542896361436242,15.311653638563758
43,1.0,5.4926666666666675,5.3719,5.7325,5.284963168060281,5.700370165273054
44,0.0,13.96025,9.913,19.7125,9.462804601776693,18.457695398223308
44,0.5,16.00825,8.7453,29.3515,6.774522399693248,25.241977600306754
44,1.0,5.435966666666666,5.3435,5.5008,5.3537564280504615,5.518176905282871
45,0.0,12.390625,9.2337,15.0215,9.449340238341131,15.331909761658869
45,0.5,15.2149,9.1945,23.296,8.07995791333945,22.34984208666055
45,1.0,5.458966666666666,5.3566,5.5164,5.370094492543753,5.547838840789579
46,0.0,14.860724999999999,9.852,25.147,7.827770055656432,21.893679944343567
46,0.5,14.78395,7.3564,23.0738,7.893844989914887,21.674055010085116
46,1.0,5.515066666666667,5.4316,5.6124,5.423872514807387,5.606260818525946
47,0.0,10.079075,8.6828,10.7564,9.1011767729334,11.0569732270666
47,0.5,17.531174999999998,10.4181,29.8113,8.710333676794674,26.35201632320532
47,1.0,5.5148,5.3757,5.608,5.392036283862047,5.6375637161379535
48,0.0,17.7334,16.2088,18.2416,16.717,18.7498
48,0.5,16.2439,11.4057,22.0486,11.440689005259085,21.047110994740915
48,1.0,5.534766666666667,5.3084,5.8215,5.2729442013713195,5.796589131962015
49,0.0,11.983699999999999,10.7944,15.5516,9.605099999999998,14.3623
49,0.5,13.95755,8.6967,22.9546,7.5093053631498545,20.405794636850146
49,1.0,5.487866666666666,5.2758,5.6014,5.3040584695335316,5.671674863799801
50,0.0,23.2255,17.5801,25.1073,19.4619,26.9891
50,0.5,12.785499999999999,8.3791,19.0585,7.20647295579238,18.36452704420762
50,1.0,5.68025,5.5556,5.8049,5.503968279450194,5.856531720549806
51,0.0,20.79645,14.679,22.8356,16.71815,24.87475
51,0.5,14.136933333333333,11.1444,19.3109,9.6378313003346,18.636035366332067
51,1.0,5.6354500000000005,5.5279,5.743,5.483351331366774,5.787548668633227
52,0.0,46.59115,23.7335,69.4488,14.26555136602262,78.91674863397738
52,0.5,15.133166666666668,9.7021,19.1751,10.246275956477486,20.02005737685585
52,1.0,10.334133333333334,5.8635,19.2137,2.6441411445640037,18.024125522102665
53,0.0,24.20445,15.4836,32.9253,11.871305654578595,36.53759434542141
53,0.5,15.564300000000001,15.0332,16.0619,15.049132444732786,16.079467555267218
53,1.0,5.745166666666667,5.3992,6.1915,5.339593093398717,6.150740239934617
54,0.0,15.32,11.1027,19.5373,9.35583714340395,21.28416285659605
54,0.5,15.825833333333334,11.0095,21.4366,10.567083782029972,21.084582884636696
54,1.0,5.724266666666666,5.1433,6.0599,5.219113003576579,6.229420329756753
55,0.0,37.6942,24.3288,51.0596,18.792670053458636,56.59572994654137
55,0.5,16.809033333333335,16.7223,16.9566,16.680582395877305,16.937484270789366
55,1.0,5.645666666666666,5.3267,6.1712,5.187084718337545,6.104248614995788
56,0.0,21.3338,19.91,22.7576,19.320242729893188,23.347357270106812
56,0.5,16.494633333333333,11.5798,19.9421,12.124634589245032,20.864632077421632
56,1.0,6.139666666666667,5.2021,7.5022,4.932164077297462,7.347169256035872
57,0.0,21.81975,12.4086,31.2309,8.510374032472447,35.12912596752755
57,0.5,22.5834,12.0934,33.4071,11.92263226545105,33.24416773454895
57,1.0,5.8675,5.231,6.2511,5.312414592157206,6.422585407842793
58,0.0,40.3798,20.5816,60.178,12.380917049424994,68.37868295057501
58,0.5,30.3193,11.4254,42.9964,13.640916926991991,46.997683073008005
58,1.0,5.971933333333333,5.1823,6.3727,5.288064922501737,6.65580174416493
59,0.0,37.68275,13.3931,61.9724,3.3319975447043504,72.03350245529565
59,0.5,26.807133333333336,17.0574,37.3081,16.66090367580373,36.95336299086294
59,1.0,5.9107666666666665,5.2067,6.2726,5.300948297532599,6.520585035800734
60,0.0,23.55015,15.5281,31.5722,12.205258091964913,34.89504190803508
60,0.5,24.0111,15.4277,35.3727,13.75246691951603,34.26973308048397
60,1.0,5.924666666666667,5.4286,6.2095,5.493487071447536,6.355846261885798
61,0.0,26.6416,19.5978,33.6854,16.680162509356393,36.60303749064361
61,0.5,32.95583333333334,28.9673,36.453,29.1888707607381,36.72279590592858
61,1.0,6.619566666666667,5.5201,7.7958,5.479776131816806,7.7593572015165275
62,0.0,31.99215,19.5109,44.4734,14.340996974630809,49.64330302536919
62,0.5,32.09636666666667,24.3516,45.8237,20.175540456066443,44.01719287726689
62,1.0,5.9761,5.2735,6.3728,5.3659391769377525,6.586260823062247
63,0.0,36.89405,29.0004,44.7877,25.730743113373617,48.05735688662638
63,0.5,40.994099999999996,14.5153,79.9352,6.549615391139909,75.43858460886008
63,1.0,6.189633333333333,5.7989,6.4351,5.847559637569784,6.531707029096882
64,0.0,25.02335,13.4544,36.5923,8.662384007583782,41.38431599241622
64,0.5,27.967033333333333,16.6724,48.5628,10.102747341351076,45.83131932531559
64,1.0,6.0162,5.2757,6.446,5.372149233367431,6.660250766632569
65,0.0,39.15635,30.1876,48.1251,26.472622112466304,51.8400778875337
65,0.5,38.251466666666666,14.6832,50.4952,17.83557512567994,58.66735820765339
65,1.0,6.114566666666666,5.2639,6.6301,5.372366307374559,6.8567670259587725
66,0.0,82.5428,48.9873,116.0983,35.08815680778961,129.9974431922104
66,0.5,29.06826666666667,18.1085,36.1402,19.444234910519285,38.692298422814055
66,1.0,6.0056666666666665,5.1313,6.4721,5.24787819794117,6.763455135392163
67,0.0,58.3196,24.345,92.2942,10.27225990379904,106.36694009620096
67,0.5,39.791000000000004,27.0172,58.6507,23.11922101064197,56.46277898935804
67,1.0,6.8680666666666665,5.9693,8.3394,5.5834585772739,8.152674756059433
68,0.0,32.0158,22.972,41.0596,19.225935384610203,44.805664615389794
68,0.5,54.34923333333334,26.2665,80.1911,27.31718321031578,81.3812834563509
68,1.0,6.293566666666667,5.3395,6.7967,5.466908567248695,7.120224766084639
69,0.0,56.807599999999994,45.9891,67.6261,41.50793057546667,72.10726942453331
69,0.5,53.773,23.3304,80.797,24.88757723418264,82.65842276581736
69,1.0,6.237733333333334,5.2391,6.9546,5.345948940481938,7.12951772618473
70,0.0,34.3702,32.9069,35.8335,32.30078129417945,36.43961870582054
70,0.5,27.9161,17.4998,43.3618,14.271250815417563,41.56094918458244
70,1.0,6.193666666666666,5.4968,6.6399,5.582289366357493,6.805043966975839
71,0.0,42.9823,41.0979,44.8667,40.317355963064145,45.64724403693586
71,0.5,49.7954,28.1253,66.5514,30.116665934771113,69.4741340652289
71,1.0,6.451366666666666,5.2505,7.4674,5.331418487805995,7.571314845527337
72,0.0,48.855199999999996,30.0948,67.6156,22.323987884455786,75.3864121155442
72,0.5,35.1256,31.7781,37.1496,32.20549858908976,38.04570141091024
72,1.0,6.1032,5.7942,6.6276,5.646651251233782,6.559748748766219
73,0.0,32.193200000000004,21.8281,42.5583,17.534735004646635,46.851664995353374
73,0.5,36.60746666666667,19.2334,58.3545,16.683680771327065,56.53125256200627
73,1.0,6.0547,5.4877,6.7926,5.38567375985691,6.72372624014309
74,0.0,38.74255,26.8761,50.609,21.960855472777787,55.524244527222216
74,0.5,31.9365,25.9205,38.4444,25.660076495327928,38.21292350467207
74,1.0,6.010533333333334,5.1902,6.7135,5.242131144806171,6.778935521860497
75,0.0,35.0171,32.3358,37.6984,31.225169175209018,38.80903082479098
75,0.5,30.637266666666665,20.1994,46.2312,16.876728144743424,44.397805188589906
75,1.0,6.814666666666667,5.4682,9.0911,4.832249050892095,8.797084282441238
76,0.0,44.202,29.5896,58.8144,23.536945741179384,64.86705425882062
76,0.5,42.32523333333334,28.4662,54.8644,29.07673240593278,55.57373426073389
76,1.0,6.1556,5.6869,6.8542,5.538925182936744,6.772274817063256
77,0.0,59.51519999999999,45.8486,73.1818,40.18770892847186,78.84269107152812
77,0.5,39.6311,28.3973,59.8194,22.11041523056248,57.151784769437526
77,1.0,5.871166666666667,5.3041,6.493,5.2748275489380605,6.467505784395274
78,0.0,47.995599999999996,44.8884,51.1028,43.60135561899431,52.38984438100568
78,0.5,48.668033333333334,24.2836,89.4267,13.143499454008001,84.19256721265867
78,1.0,6.203933333333334,6.0007,6.5738,5.883097077069593,6.524769589597076
79,0.0,30.39785,20.6164,40.1793,16.564790750325688,44.23090924967431
79,0.5,51.2075,29.9506,91.8693,15.981175178497551,86.43382482150245
79,1.0,6.8465,5.2126,8.6868,5.100227647243993,8.592772352756006
80,0.0,76.39654999999999,36.5903,116.2028,20.10201138278598,132.691088617214
80,0.5,66.99016666666667,44.3664,104.6929,34.12144175432282,99.85889157901052
80,1.0,6.203033333333334,5.2403,6.7885,5.362808117493358,7.043258549173309
81,0.0,40.8591,30.9641,50.7541,26.86545680031822,54.852743199681775
81,0.5,55.30956666666666,37.0795,90.8787,24.50257225284347,86.11656108048984
81,1.0,6.629933333333334,5.3808,7.7109,5.455815995358405,7.8040506713082625
82,0.0,80.7374,31.4255,130.0493,10.999842233614174,150.4749577663858
82,0.5,54.63649999999999,24.1838,93.0572,19.51523756696664,89.75776243303335
82,1.0,7.270700000000001,5.4271,9.6696,5.0956206612171595,9.445779338782842
83,0.0,52.335300000000004,45.1263,59.5443,42.14023442885236,62.53036557114765
83,0.5,63.9365,27.6084,98.5661,28.42717060602243,99.44582939397758
83,1.0,6.530333333333334,5.3381,7.4424,5.450569635419141,7.610097031247527
84,0.0,67.80285,29.1483,106.4574,13.137061142571078,122.46863885742894
84,0.5,80.16646666666666,41.0166,115.6404,42.719006859446985,117.61392647388635
84,1.0,6.483466666666668,5.3419,7.2763,5.470211001331737,7.496722332001598
85,0.0,76.6091,31.955,121.2632,13.458666164435577,139.7595338355644
85,0.5,83.2156,32.4189,118.4019,38.1486219188151,128.28257808118488
85,1.0,8.318033333333334,6.6013,9.6941,6.7437419710584425,9.892324695608226
86,0.0,131.23495,106.7158,155.7541,96.55963553213974,165.91026446786026
86,0.5,74.09646666666667,48.0502,120.9611,33.42641469100116,114.76651864233219
86,1.0,7.6935,6.7061,9.544,6.089715316820865,9.297284683179136
87,0.0,173.15795,45.1808,301.1351,-7.8290712038559604,354.14497120385596
87,0.5,56.9451,38.9938,77.5225,37.54696911504101,76.34323088495898
87,1.0,6.164866666666666,6.0633,6.3222,6.026701029356468,6.303032303976864
88,0.0,128.77065,102.5587,154.9826,91.70135481375453,165.83994518624544
88,0.5,86.73336666666667,47.2168,117.8883,50.6632556041355,122.80347772919784
88,1.0,6.9468000000000005,6.6245,7.37,6.563944714023694,7.329655285976307
89,0.0,162.26175,34.8566,289.6669,-17.91634104617853,342.43984104617857
89,0.5,128.6719,87.8711,209.3237,58.823777888951085,198.5200221110489
89,1.0,7.202233333333333,6.0367,8.725,5.822939686812283,8.581526979854383
90,0.0,79.37135,20.8982,137.8445,-3.322171764676341,162.06487176467635
90,0.5,128.96166666666667,36.6457,240.9248,25.414595038718957,232.50873829461437
90,1.0,6.434666666666668,5.9725,6.7337,6.028691638699019,6.840641694634316
91,0.0,147.28615,57.1877,237.3846,19.867700061205795,274.7045999387942
91,0.5,124.49643333333334,98.7835,160.1653,92.61741516756587,156.37545149910082
91,1.0,7.4619333333333335,6.0869,9.8927,5.350782447362998,9.57308421930367
92,0.0,184.14865,68.9661,299.3312,21.255925641282857,347.0413743587171
92,0.5,90.81333333333333,47.9168,132.2792,48.613940698209625,133.01272596845703
92,1.0,7.630166666666667,6.3589,9.9606,5.60916784347717,9.651165489856163
93,0.0,114.40639999999999,24.4165,204.3963,-12.858537056598593,241.6713370565986
93,0.5,160.62986666666666,39.7712,261.3335,48.48205250239802,272.7776808309353
93,1.0,7.149033333333333,6.0286,7.966,6.1453158913541,8.152750775312565
94,0.0,134.57925,38.243,230.9155,-1.660781298165091,270.8192812981651
94,0.5,149.92123333333333,96.762,216.1116,89.18870842284295,210.65375824382372
94,1.0,7.790633333333333,6.7102,9.1425,6.551973628921612,9.029293037745054
95,0.0,186.1653,43.2741,329.0565,-15.913372983766408,388.2439729837664
95,0.5,114.65226666666666,96.2278,151.3293,82.88890777621975,146.41562555711357
95,1.0,7.181733333333334,5.7938,9.5459,5.1239828034261405,9.239483863240526
96,0.0,247.44135,184.1273,310.7554,157.90176180123171,336.9809381987683
96,0.5,98.12759999999999,62.8326,154.3001,48.94957244957865,147.30562755042132
96,1.0,7.121366666666667,6.0557,9.1986,5.322226471091754,8.920506862241579
97,0.0,214.4571,116.4328,312.4814,75.829805497871,353.084394502129
97,0.5,140.5437,43.3677,231.0313,46.53328721418143,234.55411278581857
97,1.0,9.677466666666666,6.0358,14.3783,5.40655317148401,13.948380161849322
98,0.0,225.91699999999997,36.1036,415.7304,-42.519684600149276,494.3536846001492
98,0.5,153.2697,86.4162,246.942,69.71391539181144,236.82548460818856
98,1.0,7.1125,5.9179,8.6366,5.7235219188194515,8.501478081180547
99,0.0,453.88385000000005,65.3503,842.4174,-95.58556584696498,1003.3532658469651
99,0.5,147.31516666666667,83.4165,265.7733,44.62119323699878,250.00914009633456
99,1.0,7.576533333333334,5.9959,9.8527,5.55624832291195,9.596818343754718
100,0.0,163.46495,79.6237,247.3062,44.89551716368673,282.0343828363132
100,0.5,193.01923333333332,54.6623,452.125,-31.54559035092791,417.58405701759455
100,1.0,7.0056666666666665,6.0228,7.8043,6.10074014847122,7.910593184862113
101,0.0,227.55275,62.0049,393.1006,-6.567264691706782,461.6727646917068
101,0.5,199.75446666666667,81.1501,379.3791,41.55289013121197,357.95604320212135
101,1.0,7.749433333333333,6.1243,10.3999,5.434553169408353,10.064313497258313
102,0.0,157.5555,128.4944,186.6166,116.45689824251926,198.65410175748073
102,0.5,171.6371333333333,69.6326,355.0837,12.435417834085825,330.83884883258077
102,1.0,7.700500000000001,6.2146,9.412,6.089905945000417,9.311094054999584
103,0.0,390.916,92.2898,689.5422,-31.405222119940333,813.2372221199403
103,0.5,225.25623333333337,41.667,457.3287,13.226447341922864,437.28601932474385
103,1.0,8.538866666666667,5.9318,12.6598,4.928417911548636,12.1493154217847
104,0.0,187.4604,76.5707,298.3501,30.638682332516197,344.2821176674838
104,0.5,154.94413333333333,123.5065,208.9507,107.96333521044771,201.92493145621893
104,1.0,7.167133333333333,5.9537,8.5254,5.875180260140142,8.459086406526524
105,0.0,261.5456,36.6809,486.4103,-56.46110843895735,579.5523084389573
105,0.5,268.2271,217.2209,332.2881,209.5931850595835,326.8610149404165
105,1.0,8.162966666666668,7.0346,9.7201,6.769819795969492,9.556113537363842
106,0.0,146.42825,90.4705,202.386,67.29204103011695,225.56445896988305
106,0.5,127.143225,47.2485,198.5434,46.593323114714224,207.69312688528578
106,1.0,6.591666666666666,6.0644,6.9492,6.125485571668881,7.05784776166445
107,0.0,145.53955,62.8368,228.2423,28.5801993044485,262.49890069555147
107,0.5,147.722575,74.7369,205.2346,92.32764139385543,203.11750860614458
107,1.0,6.7193,6.0835,7.2824,6.116552731238041,7.322047268761958
108,0.0,278.9178,146.4403,411.3953,91.56632279071829,466.2692772092817
108,0.5,146.2249,84.1014,207.4985,93.26965769589316,199.18014230410682
108,1.0,6.408533333333334,6.049,6.8957,5.970991422959786,6.846075243706881
109,0.0,87.02120000000001,49.5362,124.5062,34.009404614444534,140.03299538555547
109,0.5,125.7047,50.4988,211.627,59.36462444291308,192.04477555708692
109,1.0,6.694966666666667,5.9736,7.5612,5.891313630006359,7.498619703326974
110,0.0,146.9743,88.2902,205.6584,63.98244988434105,229.96615011565893
110,0.5,196.88355,110.1241,284.8987,112.54784378258579,281.2192562174142
110,1.0,6.549499999999999,6.2687,7.0614,6.105485664645835,6.993514335354163
111,0.0,125.12109999999998,79.4301,170.8121,60.50426812161092,189.73793187838905
111,0.5,182.71722499999998,118.8207,215.2271,139.17067696862134,226.26377303137863
111,1.0,6.268866666666667,5.893,6.8824,5.733056837218444,6.804676496114889
112,0.0,194.98075,58.091,331.8705,1.3894090001376185,388.5720909998624
112,0.5,273.71157500000004,115.7201,415.7121,149.30274266570592,398.12040733429416
112,1.0,7.417933333333333,6.4303,8.7297,6.23446094103458,8.601405725632086
113,0.0,156.98615,142.7253,171.247,136.81826251903163,177.15403748096838
113,0.5,198.95329999999998,167.0931,267.7184,152.46880175574657,245.4377982442534
113,1.0,6.391500000000001,6.2663,6.5447,6.25020371554779,6.532796284452211
114,0.0,345.02705000000003,203.1298,486.9243,144.35403458655432,545.7000654134457
114,0.5,200.97022500000003,127.9179,323.5776,115.97843123129256,285.9620187687075
114,1.0,6.514333333333333,5.9521,7.6091,5.566121298325691,7.462545368340975
115,0.0,90.4205,83.9086,96.9324,81.21128270318265,99.62971729681736
115,0.5,229.7653,144.3189,348.419,144.18604202171807,315.34455797828196
115,1.0,6.758366666666667,6.2106,7.7937,5.8612366073478785,7.655496725985456
116,0.0,224.8556,113.6809,336.0303,67.63083146723986,382.0803685327602
116,0.5,206.423475,56.9435,294.7439,98.4277838796479,314.4191661203521
116,1.0,6.4054,6.1608,6.7948,6.064497843949323,6.746302156050677
117,0.0,148.29245,88.6917,207.8932,64.00426102239174,232.58063897760826
117,0.5,260.371025,152.7071,346.7308,180.19532268151386,340.5467273184861
117,1.0,7.2389,6.4486,7.922,6.4963733876823,7.9814266123177005
118,0.0,213.89215000000002,139.1955,288.5888,108.25513450616377,319.5291654938363
118,0.5,222.87642499999998,170.4622,276.9179,177.1459664153488,268.6068835846512
118,1.0,6.59,6.0487,7.5029,5.794865212684038,7.385134787315962
119,0.0,280.85110000000003,120.6921,441.0101,54.35207006388748,507.3501299361126
119,0.5,202.976325,186.8959,221.0889,187.97659517879433,217.97605482120568
119,1.0,8.452866666666667,6.2825,10.878,6.144548100408246,10.761185232925088
120,0.0,306.55595000000005,300.119,312.9929,297.4527280096826,315.65917199031753
120,0.5,202.539775,115.4974,281.4753,133.99909426160565,271.08045573839433
120,1.0,6.628633333333333,6.1281,7.3891,5.959152748601159,7.298113918065507
121,0.0,462.95225,414.5608,511.3437,394.51640510710047,531.3880948928995
121,0.5,219.099075,187.1124,278.9996,178.25105417341447,259.94709582658555
121,1.0,6.526533333333333,6.0691,7.3797,5.787025562357711,7.266041104308955
122,0.0,262.2772,190.6656,333.8888,161.00310405676288,363.5512959432371
122,0.5,263.11195,138.8781,380.1936,163.45215928376712,362.77174071623284
122,1.0,6.6334333333333335,6.3465,7.0705,6.248791924572741,7.018074742093926
