0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,0,1,1,1,0,0.0,-0.7949496210476871,1
1,1,1,0,0,1,1,1,1,0,0.0,-0.7949496210476871,2
0,0,1,0,0,0,0,1,1,0,0.0,-0.7921485820900488,2
0,0,1,0,0,1,1,1,1,0,0.0,-0.7921485820900488,2
0,0,1,0,0,0,1,1,1,0,0.0,-0.7921485820900488,1
0,0,1,0,0,1,0,1,1,0,0.0,-0.7921485820900488,3
0,0,1,0,0,0,0,0,0,1,0.0,-0.79,2
0,0,1,0,0,0,1,0,0,1,0.0,-0.79,1
1,1,0,1,1,0,1,0,0,1,0.0,-0.7884411149635719,2
1,1,0,1,1,0,0,0,0,1,0.0,-0.7884411149635719,1
0,0,0,1,1,1,1,1,1,0,0.0,-0.7877886580959824,1
0,0,0,1,1,0,1,1,1,0,0.0,-0.7877886580959824,1
0,0,0,1,1,0,1,0,0,1,0.0,-0.7856400760059337,1
0,0,0,1,1,0,0,0,0,1,0.0,-0.7856400760059337,3
0,0,0,1,1,1,1,0,0,1,0.0,-0.7856400760059337,1
0,1,1,0,0,0,1,0,1,0,0.0,-0.78,1
1,0,0,0,1,1,0,1,0,0,0.0,-0.78,1
1,0,0,0,1,0,1,1,0,0,0.0,-0.78,1
1,0,0,0,1,0,0,1,0,0,0.0,-0.78,1
0,1,1,0,0,1,0,1,0,1,0.0,-0.7783107440715707,1
1,0,1,0,0,0,1,1,0,1,0.0,-0.7783107440715707,1
0,1,1,0,0,0,1,1,0,1,0.0,-0.7783107440715707,2
0,1,1,1,0,1,1,1,0,0,0.0,-0.7782369189779317,2
0,1,1,1,0,0,0,1,0,0,0.0,-0.7782369189779317,1
1,0,0,1,1,0,1,0,1,0,0.0,-0.7756400760059337,1
0,1,0,1,1,0,0,0,1,0,0.0,-0.7756400760059337,1
0,1,0,1,1,1,0,0,1,0,0.0,-0.7756400760059337,1
0,1,1,1,0,0,0,0,1,1,0.0,-0.7701049223204031,1
0,0,1,0,0,0,1,1,0,0,0.0,-0.74,1
1,1,0,1,1,0,0,1,0,0,0.0,-0.7384411149635719,1
0,0,1,0,0,1,1,0,1,1,0.0,-0.7318680033424714,1
1,1,1,1,0,0,0,0,0,1,0.0,-0.7210379579355701,1
0,1,1,0,1,1,1,1,1,0,0.0,-0.7200803410220685,1
1,0,0,1,0,0,1,0,0,1,0.0,-0.72,1
1,0,0,0,1,1,0,1,0,1,0.0,-0.7083107440715709,1
0,1,1,1,0,1,1,1,0,1,0.0,-0.7065476630495026,1
0,1,0,1,1,1,0,0,0,0,0.0,-0.5856400760059336,1
